,Date,Event Type,Actor 1,Actor 1 Ally,Actor 1 Type,Actor 2,Actor 2 Ally,Actor 2 Type,Interaction Type,Country,Location,Latitude,Longitude,Source,Notes,Fatalities
9350,2017-07-05,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Meyerton,-26.55987,28.0195,The Star (South Africa),"Tension boiled over in Meyerton, south of Joburg, yesterday as residents of Sicelo Shiceka informal settlement embarked on their third consecutive day of protests. Protesters threw stones at motorists. Police used stun grenades to disperse the crowd.",0
9351,2017-07-05,Riots/Protests,Rioters (South Africa),Taxi Drivers (South Africa),Rioters,,,NA,Sole rioter action,South Africa,Sunnyside,-25.75,28.21667,Pretoria News (South Africa),"Two Uber vehicles were set alight in Sunnyside, while metered taxi operators claimed four of their cars were damaged.",0
9352,2017-07-06,Riots/Protests,Protesters (South Africa),SACP: South African Communist Party,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,News24,A crowd of South African Communist Party supporters protested outside Parliament.,0
9353,2017-07-06,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Hangberg,-34.05643,18.335620000000002,News24,"About 150 people blocked a road in Hangberg, Hout Bay with a burning barricade over a dagga arrest. Protesters stoned passing cars near a barricade of burning tyres and rocks at the intersection of Harbour and Atlantic Skipper roads.",0
9354,2017-07-06,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Richards Bay,-28.8,32.1,The Mercury (South Africa),TRANSNET said it had experienced interruptions to its operations on the Richards Bay coal line as a result of violent community protests in certain areas of northern KwaZulu-Natal.,0
9355,2017-07-06,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Simons Town,-34.19358,18.43477,Daily Voice,"Ocean View community members protested outside the Simon's Town Magistrate Court, carrying placards and hurling abuse at the accused.",0
9356,2017-07-06,Riots/Protests,Protesters (South Africa),PAC: Pan African Congress,Protesters,,,NA,Sole protester action,South Africa,Soshanguve,-25.47288,28.099190000000004,Pretoria News (South Africa),PAC members protested peacefully outside the Soshanguve Magistrate's Court demanding that charges against Nonhlanhla Mbokoto be dropped unconditionally.,0
9357,2017-07-06,Riots/Protests,Rioters (South Africa),ABMSM: Abahlali Basemjondolo Shack Dwellers Movement,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Sydenham,-29.82994,30.99157,News24,"Two protesters have been arrested while 15 others were injured in a violent protest by shack dwellers and Abahlali Basemjondolo in George Hill, Sydenham, Durban. Police assaulted protesters with their batons and fired shots at others using shotguns while protesters burnt tyres.",0
9358,2017-07-07,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Chesterville,-29.851440000000004,30.944409999999998,Daily News (South Africa),Protests and the burning of tyres flared up briefly near near Chesterville.,0
9359,2017-07-07,Riots/Protests,Protesters (South Africa),Taxi Drivers (South Africa),Protesters,,,NA,Sole protester action,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,Pretoria News Weekend (South Africa),"Traffic in the Joburg CBD came to a standstill midday as Soweto taxi drivers marched to the Office of the Premier, parking their taxis in the streets and demanding to be allowed to operate on their routes again.",0
9360,2017-07-07,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Mayville,-29.85,30.98333,News24,"A small group of protesters set alight a municipal bus in Mayville, Durban.",0
9361,2017-07-07,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Reservoir Hills,-29.80244,30.9427,Daily News (South Africa),Protests and the burning of tyres flared up briefly on the M19 near Reservoir Hills.,0
9362,2017-07-07,Riots/Protests,Protesters (South Africa),NUMSA: National Union of Metalworkers of South Africa,Protesters,,,NA,Sole protester action,South Africa,Richards Bay,-28.8,32.1,The Citizen,Operations at the Transnet offices in Richards Bay are expected to come to a standstill as the National Union of Metalworkers of SA (Numsa) embarked on a protest march.,0
9363,2017-07-07,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Umlazi,-29.96667,30.883329999999997,Daily News (South Africa),Protests and the burning of tyres flared up briefly on the Mangosuthu Highway in Umlazi.,0
9364,2017-07-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Ashton,-33.83136,20.05594,Cape Times (South Africa),About 400 people and 30 civil rights organisations from around the Western Cape's rural Langeberg region took to the streets to march against the spike in drug abuse in their areas.,0
9365,2017-07-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Ocean View,-34.14861,18.35365,GroundUp,Residents of Ocean View in Cape Town formed a human chain to show unity in the fight against crime in the area.,0
9366,2017-07-10,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Diepsloot,-25.933329999999998,28.01667,News24,A group of Diepsloot residents have barricaded roads with burning tyres and are throwing rocks at passing cars.,0
9367,2017-07-10,Riots/Protests,Protesters (South Africa),TUC: Trade Union Congress,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,Sowetan (South Africa),"The entrance to the Pretoria Zoo was blocked by striking National Zoological Gardens (NZG) workers with the Trade Union Congress after their demand to be paid overtime for working weekends deadlocked last week, resulting in National Trade Union Congress (NTUC) giving the zoo management with a strike notice.",0
9368,2017-07-10,Riots/Protests,Rioters (South Africa),Private Security Forces (South Africa),Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Pretoria West,-25.74841,28.154009999999996,Pretoria News (South Africa),"Security guards went on the rampage and police fired rubber bullets in Princess Park in Pretoria. Guards  turned away motorists and blocked the road with chairs, sticks and anything they could find.",0
9369,2017-07-11,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Alexandra,-26.116670000000003,28.1,News24,Alexandra residents have blockaded parts of the N3 north highway and London road with burning tyres and rocks.,0
9370,2017-07-11,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Atteridgeville,-25.772779999999997,28.06778,News24,"Two buses were torched and a third damaged in Atteridgeville, Tshwane during protests about housing which saw more that 150 residents take to the streets.",0
9371,2017-07-11,Riots/Protests,Protesters (South Africa),EE: Equal Education,Protesters,,,NA,Sole protester action,South Africa,Pietermaritzburg,-29.616670000000003,30.383329999999997,The Mercury,Equal Education members staged a protest outside the departments offices in Pietermaritzburg.,0
9372,2017-07-11,Riots/Protests,Protesters (South Africa),DA: Democratic Alliance,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,African News Agency,"DA Members of Parliament led picketers outside the National Prosecuting Authority (NPA) head offices in Silverton, Pretoria.",0
9373,2017-07-11,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Woodstock,-33.91667,18.4333,GroundUp,Over a dozen Woodstock residents and their supporters held up posters and banners on Father Basil van Rensburg Bridge during peak hour traffic in Woodstock.,0
9374,2017-07-12,Riots/Protests,Protesters (South Africa),EE: Equal Education,Protesters,,,NA,Sole protester action,South Africa,Durban,-29.8579,31.0292,The Mercury,Equal Education members staged a protest outside the departments offices in Durban.,0
9375,2017-07-12,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,George,-33.96667,22.45,News24,"About 1 000 Zone 8 residents (Goerge) blockaded roads and burnt tyres, obstructing the main road and the N2 to Mossel Bay. Public Order Police fired several stun grenades in a bid to disperse the protesters.",0
9376,2017-07-12,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Mamelodi,-25.71301,28.365340000000003,News24,"Residents of Nellmapius in Mamelodi East took to the streets in protest, after being without electricity for 24 hours. Protesters blocked various parts of the road with stones and rubbish, which they set alight.",0
9377,2017-07-12,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,Pretoria News (South Africa),"Community members from Steelpoort, Limpopo, travelled over three hours to Pretoria to plead with the Department of Mineral Resources (DMR) to intervene with mines failing to provide them with employment opportunities.",0
9378,2017-07-12,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Sefateng,-24.28087,29.860129999999998,Sowetan (South Africa),"A protester from GaMampa village, was killed after police clashed with residents who were protesting over mining issues in Sefateng.",1
9379,2017-07-12,Violence against civilians,Rioters (South Africa),,Rioters,Civilians (South Africa),,Civilians,Rioters versus civilians,South Africa,Umhlali,-29.499979999999997,31.216279999999998,News24,A man was shot and injured during a protest in Nkobongo area near Umhlali. The 30-year-old man was shot during a protest by a group of about 50 residents who blockaded the road with burning tyres and rubble.,0
9380,2017-07-13,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Lenasia,-26.316670000000002,27.83333,Times Live,In Lenasia South another protest action is under way affecting motorists travelling from Ennerdale and Orange Farm. The Golden Highway is affected as community members have covered the road with rocks and tyres.,0
9381,2017-07-13,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Pretoria,-25.74486,28.187829999999998,News24,"Close to a thousand protesting residents of Gomora informal settlement in Pretoria West have battled with police. Police fired hails of rubber bullets, dozens of tear gas canisters, and stun grenades while protesters returned fire with slingshots and threw stones at police.",0
9382,2017-07-13,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Pretoria West,-25.74841,28.154009999999996,Times Live,A truck has been set alight and Van Der Hof Steet is closed in Pretoria West after angry community members took to the streets.,0
9383,2017-07-13,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Rustenburg,-25.66667,27.25,African News Agency,An all-men march brought Rustenburg to a standstill to kick start the Mandela Day activities.,0
9384,2017-07-13,Violence against civilians,Unidentified Armed Group (South Africa),,Political militia,Civilians (South Africa),ANC: African National Congress,Civilians,Political militia versus civilians,South Africa,Umzinkulu,-30.26667,29.933329999999998,African News Agency; News24,"Three African National Council (ANC) councillors from uMzimkhulu were shot, while they were at a local shop together. One of the victims eventually succumbed to his wounds on 4th September 2017.",1
9385,2017-07-14,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,News24,Protesters took to the streets of Johannesburg against women and child abuse,0
9386,2017-07-14,Riots/Protests,Protesters (South Africa),BLA: Black Lawyers Association,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,IOL News,Lawyers under the leadership of the Black Lawyers Association marched to the Union Building to demand equality,0
9387,2017-07-15,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Mthatha,-31.588929999999998,28.78443,Daily Dispatch (South Africa),"Machinery worth millions of rands, owned by a contractor appointed to install underground water and sewerage pipes for residents of a new residential suburb in Mthatha, were torched by an angry mob.",0
9388,2017-07-17,Riots/Protests,Protesters (South Africa),Private Security Forces (South Africa),Protesters,,,NA,Sole protester action,South Africa,Arcadia,-25.7464,28.22137,Daily Maverick,"Disgruntled security guards gathered at Church Square in Pretoria before deciding to march to the office of the mayor, located at Tshwane House.",0
9389,2017-07-17,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Bapong,-25.71286,27.6718,Pretoria News (South Africa),"In two days of violent protests, six trucks and two buses were set alight during protest action in Bapong.",0
9390,2017-07-17,Violence Against Civilians,Unidentified Armed Group (South Africa),,Political militia,Civilians (South Africa),ANC: African National Congress,Civilians,Political militia versus civilians,South Africa,Fort Beaufort,-32.774770000000004,26.63376,News24,"The council speaker (ANC controlled) of the Raymond Mhlaba Local Municipality in Fort Beaufort, Eastern Cape, has been shot dead, just weeks after her office received an ominous death threat.",1
9391,2017-07-17,Violence Against Civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Mitchells Plain,-34.05341,18.62365,Cape Times (South Africa),In Siqalo informal settlement near Mitchells Plain two people who were stoned to death for allegedly stealing a cellphone.,2
9392,2017-07-17,Riots/Protests,Protesters (South Africa),Private Security Forces (South Africa); #OutsourcingMustFall,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,News24,"Hundreds of security guards with the #OutsourcingMustFall movement marched to Tshwane House in Pretoria CBD, demanding that City of Tshwane Mayor Solly Msimanga permanently employ 3 000 security guards and end outsourcing.",0
9393,2017-07-18,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Bapong,-25.71286,27.6718,Pretoria News (South Africa),"In two days of violent protests, six trucks and two buses were set alight during protest action in Bapong.",0
9394,2017-07-18,Riots/Protests,Protesters (South Africa),RTC: Reclaim The City,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,African News Agency; GroundUp,"Hundreds of people, led by the group of Elders, had gathered in the Cape Town CBD for a symbolic march. Meanwhile, a group of supporters of Recaim the City carrying placards and standing outside the fourth annual Affordable Housing Africa Conference held at a hotel in Cape Towns CBD.",0
9395,2017-07-19,Riots/Protests,Protesters (South Africa),Police Union of South Africa,Protesters,,,NA,Sole protester action,South Africa,Maitland,-33.92173,18.4903,GroundUp,About 45 call agents from the 10111 South African Police Service (SAPS) call-center with the support of the South African Policing Union downed phones and left their offices in Maitland. They protested outside on Jan Smuts Drive. Passing motorists hooted in support.,0
9396,2017-07-19,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Polokwane,-23.90448,29.46885,News24,"A protest took place in Nkandla informal settlement in Polokwane. Protesters blockaded the road, burnt tyres and treesand flung rubble into the streets. Police were firing rubber bullets into group of residents.",0
9397,2017-07-20,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Hout Bay,-34.03929,18.34682,News24,"Protesters in Imizamo Yethu, Hout Bay, burnt down an ANC councillor's house during ongoing protest action in the area. Protesters also threw petrol bombs and stones at officers when authorities tried to clear 52 illegally constructed structures.",0
